name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews,bad_data,
Ivan Bunin,Voronezh,Russia,1870,Male,WRITER,LANGUAGE,HUMANITIES,795787,2623.410496,202401,11877.41791,,
Solomon Burke,Philadelphia,UNITED STATES,1940,Male,SINGER,MUSIC,ARTS,1534924,43044.17085,937220,52928.41379,,
Karl Malden,Chicago,UNITED STATES,1912,Male,ACTOR,FILM AND THEATRE,ARTS,2866940,78698.24238,1819923,75445.78947,,
Marilyn Monroe,Los Angeles,United States,1926,Female,ACTOR,FILM AND THEATRE,ARTS,63671491,429637.8174,31088742,445255.1818,,
Martti Ahtisaari,Vyborg,Russia,1937,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,1737829,27279.2948,588675,24476.46479,,
Kyösti Kallio,Ylivieska,FINLAND,1873,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,307143,1250.258506,49857,9598.21875,,
Carl Gustaf Emil Mannerheim,Askainen,FINLAND,1867,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2454872,7741.220581,748120,51143.16667,,
Mauno Koivisto,Turku,FINLAND,1923,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,586636,2873.216438,101028,14665.9,,
Juho Kusti Paasikivi,Hämeenkoski,FINLAND,1870,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,423570,1492.229854,83214,11447.83784,,
Lauri Kristian Relander,Lakhdenpokhsky District,United Kingdom,1883,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,204595,754.9101797,30850,6819.833333,,
Risto Ryti,Huittinen,FINLAND,1889,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,494837,1692.937749,118378,15463.65625,,
Kaarlo Juho Ståhlberg,Suomussalmi,FINLAND,1865,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,302121,1267.107795,62735,9745.83871,,
Pehr Evind Svinhufvud,Sääksmäki,FINLAND,1861,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,296922,1470.361716,68647,8997.636364,,
Mika Waltari,Helsinki,FINLAND,1908,Male,WRITER,LANGUAGE,HUMANITIES,1048292,3024.594764,177509,28332.21622,,
Stefanie Graf,Mannheim,GERMANY,1969,Female,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,8909221,78565.39119,4382032,146052.8033,,
Dominique de Villepin,Rabat,MOROCCO,1953,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,2007540,13225.46596,361122,36500.72727,,
Jean-Pierre Raffarin,Poitiers,France,1948,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,789936,4003.03345,130132,24685.5,,
Karl Pearson,Islington,UNITED KINGDOM,1857,Male,STATISTICIAN,MATH,SCIENCE & TECHNOLOGY,857209,3126.660323,439253,29558.93103,,
Frederick V,32,,Europe,1596,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,10.0075951,1344.429887,260529,23.65847185,
Odilon Redon,Bordeaux,FRANCE,1840,Male,ARTIST,FINE ARTS,ARTS,1569931,6348.288266,597708,49060.34375,,
Serena Williams,Saginaw,UNITED STATES,1981,Female,TENNIS PLAYER,INDIVIDUAL SPORTS,SPORTS,15363289,217635.5476,9835910,229302.8209,,
Juan Pablo Montoya,Bogotá,COLOMBIA,1975,Male,RACECAR DRIVER,INDIVIDUAL SPORTS,SPORTS,2925844,10511.92965,1267462,73146.1,,
Eduardo Frei Montalva,Santiago,CHILE,1911,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,751163,4322.654114,134572,27820.85185,,
William Gilbert,Colchester,UNITED KINGDOM,1544,Male,PHYSICIST,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,880378,4328.094696,4046,22573.79487,,
