full_name,nickname,gender,type,state,senate_class,party,,,,,,,,,,,,,,,,,,,,,,,,,
Albio Sires,,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,,M,rep,WA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Smith,,M,rep,NE,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher H. Smith,Chris,M,rep,NJ,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Speier,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Jackie Speier,
Steve Stivers,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Linda T. Sánchez,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Linda Sánchez,
Bennie G. Thompson,,M,rep,MS,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Bennie Thompson,
Mike Thompson,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Thompson,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Thornberry,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John Thune,,M,sen,SD,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Scott R. Tipton,,M,rep,CO,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Tonko,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick J. Toomey,Pat,M,sen,PA,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Michael R. Turner,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Upton,,M,rep,MI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Van Hollen,,M,sen,MD,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Nydia M. Velázquez,,F,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Peter J. Visclosky,,M,rep,IN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Walberg,,M,rep,MI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Walden,,M,rep,OR,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Debbie Wasserman Schultz,,F,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Maxine Waters,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Webster,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Welch,,M,rep,VT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Peter Welch,
Joe Wilson,,M,rep,SC,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Frederica S. Wilson,,F,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Robert J. Wittman,,M,rep,VA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,Rob Wittman,
Steve Womack,,M,rep,AR,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Woodall,,M,rep,GA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Wyden,,M,sen,OR,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John A. Yarmuth,,M,rep,KY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Don Young,,M,rep,AK,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Young,,M,sen,IN,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mark E. Amodei,,M,rep,NV,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Suzanne Bonamici,,F,rep,OR,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Suzan K. DelBene,,F,rep,WA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Massie,,M,rep,KY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"Donald M. Payne, Jr.",,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Schatz,,M,sen,HI,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Foster,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Dina Titus,,F,rep,NV,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Cotton,,M,sen,AR,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrsten Sinema,,F,sen,AZ,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Doug LaMalfa,,M,rep,CA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Huffman,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ami Bera,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Cook,,M,rep,CA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Swalwell,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
